Test,Predictions,difference
0.0,1.497,-1.497
7.45,1.491,5.959
10.25,1.762,8.488
7.567,2.661,4.905
6.417,2.688,3.728
6.917,2.573,4.344
8.017,2.725,5.292
3.7,2.963,0.737
10.5,2.364,8.136
9.533,3.434,6.099
2.833,3.329,-0.496
1.817,2.386,-0.569
1.917,2.203,-0.286
11.75,2.165,9.585
10.0,3.45,6.55
0.8,3.285,-2.485
0.0,2.211,-2.211
6.5,2.034,4.466
-0.933,2.566,-3.5
-0.783,1.906,-2.69
3.183,1.76,1.423
1.833,1.894,-0.061
7.967,1.794,6.172
8.45,2.444,6.006
0.0,2.829,-2.829
4.1,1.897,2.203
8.667,2.038,6.629
4.267,2.803,1.464
8.717,2.377,6.34
0.533,2.115,-1.582
0.65,1.833,-1.183
12.9,1.681,11.219
5.45,3.786,1.664
7.133,2.878,4.255
6.8,3.32,3.48
6.3,3.379,2.921
7.25,3.273,3.977
0.133,3.46,-3.327
-1.25,2.138,-3.388
11.617,1.806,9.811
10.917,4.009,6.908
-0.5,4.248,-4.748
-0.7,2.047,-2.747
5.083,1.787,3.296
9.983,2.097,7.886
1.95,3.783,-1.833
-2.667,2.162,-4.829
3.167,1.68,1.487
8.767,1.768,6.999
9.967,3.116,6.851
1.917,3.745,-1.828
1.333,2.382,-1.049
1.217,2.11,-0.893
9.733,1.964,7.769
-1.683,3.219,-4.902
4.367,1.957,2.41
-1.0,2.148,-3.148
4.65,1.686,2.964
-2.6,1.894,-4.494
1.45,1.349,0.101
3.867,1.312,2.555
4.85,1.56,3.29
7.3,1.702,5.598
5.033,2.487,2.547
8.217,2.294,5.923
1.05,3.288,-2.238
5.783,2.096,3.688
0.417,2.714,-2.298
3.367,2.085,1.282
-0.033,2.351,-2.384
-1.2,1.96,-3.16
-1.333,1.796,-3.129
6.667,1.687,4.979
6.85,2.29,4.56
6.467,2.654,3.813
1.75,2.789,-1.039
1.75,2.245,-0.495
-1.1,2.201,-3.301
2.567,1.924,0.643
0.267,2.039,-1.772
1.983,1.833,0.15
0.767,1.84,-1.073
-0.4,1.771,-2.171
-0.25,1.632,-1.882
-0.2,1.552,-1.752
-0.45,1.484,-1.934
0.0,1.377,-1.377
1.383,1.381,0.003
-0.133,1.482,-1.615
-0.7,1.409,-2.109
0.0,1.363,-1.363
-1.4,1.253,-2.653
-1.0,1.279,-2.279
-1.417,1.365,-2.782
1.367,1.318,0.049
1.233,1.425,-0.191
0.0,1.456,-1.456
0.6,1.417,-0.817
0.0,1.379,-1.379
3.033,1.472,1.561
2.833,1.561,1.272
1.683,1.628,0.055
3.5,1.585,1.915
1.967,1.686,0.281
1.817,1.654,0.162
-0.717,1.632,-2.348
1.0,1.533,-0.533
0.0,1.516,-1.516
0.183,1.516,-1.333
2.833,1.497,1.336
-1.0,1.578,-2.578
-1.7,1.495,-3.195
1.85,1.359,0.491
2.5,1.477,1.023
-1.867,1.544,-3.411
-2.25,1.459,-3.709
6.8,1.095,5.705
-2.617,1.546,-4.163
5.3,0.951,4.349
11.75,3.198,8.552
11.433,3.788,7.645
1.967,3.576,-1.609
13.15,2.436,10.714
12.9,3.762,9.138
17.5,3.785,13.715
1.867,4.121,-2.254
0.5,2.718,-2.218
5.733,2.346,3.387
5.25,2.757,2.493
3.0,2.761,0.239
3.567,2.416,1.15
3.4,2.239,1.161
13.3,2.155,11.145
5.117,3.287,1.83
0.0,2.549,-2.549
12.95,2.015,10.935
3.85,3.517,0.333
4.483,2.452,2.031
3.783,2.429,1.355
10.55,2.444,8.106
12.033,3.395,8.638
9.25,3.823,5.427
10.0,3.647,6.353
8.95,3.708,5.242
16.983,3.706,13.277
16.65,3.679,12.971
12.133,3.52,8.613
12.233,3.284,8.949
5.367,3.258,2.109
12.283,2.985,9.298
12.767,3.457,9.31
15.983,3.482,12.501
7.45,3.185,4.265
9.5,3.209,6.291
8.967,3.287,5.679
8.183,3.221,4.962
11.283,3.198,8.085
23.283,3.095,20.189
27.283,3.558,23.725
6.283,5.68,0.603
16.283,3.033,13.25
28.75,2.577,26.173
26.75,7.808,18.942
25.817,10.891,14.926
28.65,12.04,16.61
12.417,17.107,-4.69
11.333,2.493,8.841
-1.6,2.546,-4.146
11.117,2.298,8.818
-0.5,3.309,-3.809
9.667,2.241,7.426
0.75,3.226,-2.476
-1.2,2.366,-3.566
-0.05,2.184,-2.234
3.8,1.972,1.828
20.45,2.173,18.277
25.717,4.361,21.356
2.467,11.861,-9.394
1.717,2.69,-0.974
0.75,2.451,-1.701
2.233,2.238,-0.004
31.783,2.252,29.532
30.2,12.568,17.632
4.317,13.869,-9.553
-2.383,3.523,-5.906
0.5,2.245,-1.745
-0.05,2.167,-2.217
-0.133,1.89,-2.023
-0.75,1.78,-2.53
35.083,1.655,33.429
27.583,11.893,15.691
-1.317,8.9,-10.216
1.617,2.306,-0.689
37.3,2.264,35.036
39.75,20.102,19.648
35.517,34.582,0.934
38.917,27.534,11.382
0.0,33.036,-33.036
10.25,3.604,6.646
10.25,3.627,6.623
-0.333,3.405,-3.738
0.233,2.881,-2.648
-0.567,2.59,-3.157
-4.1,2.25,-6.35
-0.983,1.8,-2.783
-2.733,1.695,-4.429
1.633,1.577,0.057
1.8,1.649,0.151
-0.067,1.68,-1.746
0.3,1.462,-1.162
1.567,1.403,0.164
2.6,1.499,1.101
2.6,1.586,1.014
1.25,1.633,-0.383
0.633,1.562,-0.929
-2.617,1.524,-4.14
2.5,1.458,1.042
-1.217,1.506,-2.723
0.5,1.448,-0.948
-2.167,1.135,-3.302
0.0,1.369,-1.369
1.0,1.433,-0.433
0.95,1.446,-0.496
1.45,1.469,-0.019
-0.25,1.494,-1.744
0.0,1.471,-1.471
0.05,1.48,-1.43
-1.0,1.457,-2.457
-1.517,1.229,-2.745
-0.017,0.925,-0.942
0.0,1.415,-1.415
-1.25,1.438,-2.688
0.0,0.833,-0.833
-3.467,1.069,-4.536
4.15,1.33,2.82
2.5,1.588,0.912
0.0,1.581,-1.581
0.0,1.488,-1.488
0.0,1.49,-1.49
0.0,1.476,-1.476
3.517,1.477,2.039
6.8,1.597,5.203
0.0,2.175,-2.175
12.9,1.688,11.212
1.433,3.115,-1.681
1.217,1.909,-0.692
12.417,1.806,10.611
9.45,3.279,6.171
7.517,3.218,4.299
8.3,3.032,5.268
8.45,3.161,5.289
5.183,3.191,1.992
8.1,2.879,5.221
4.317,3.187,1.13
7.0,2.702,4.298
8.1,3.146,4.954
7.283,3.146,4.138
7.983,3.044,4.94
7.8,3.156,4.644
2.35,3.336,-0.986
7.05,2.549,4.501
5.667,3.097,2.57
1.85,3.043,-1.193
1.85,2.43,-0.58
0.0,2.383,-2.383
4.633,2.14,2.493
-0.633,2.546,-3.179
-1.767,1.92,-3.686
-0.883,1.664,-2.547
-1.067,1.589,-2.656
-2.067,1.498,-3.565
-1.117,1.476,-2.592
-1.467,1.255,-2.721
-1.933,1.333,-3.267
-2.633,1.344,-3.977
-3.383,1.126,-4.509
-2.367,1.321,-3.688
0.75,1.403,-0.653
-3.35,1.383,-4.733
-0.567,1.283,-1.85
-1.083,1.371,-2.454
-3.067,1.353,-4.42
-0.017,1.345,-1.361
-2.033,1.366,-3.4
-1.55,1.361,-2.911
1.683,1.054,0.629
-2.05,1.417,-3.467
-1.483,1.19,-2.674
2.817,1.173,1.644
3.317,1.424,1.893
2.517,1.445,1.071
8.0,1.453,6.547
5.367,1.884,3.483
0.933,1.819,-0.886
4.95,1.612,3.338
1.667,1.795,-0.128
7.75,1.668,6.082
-2.567,2.129,-4.696
-0.25,1.533,-1.783
-1.5,0.577,-2.077
-0.367,0.726,-1.093
-1.167,0.841,-2.008
0.517,0.796,-0.279
0.0,0.877,-0.877
1.633,1.106,0.528
2.133,1.279,0.854
0.167,1.442,-1.276
1.467,1.264,0.203
-0.45,1.357,-1.807
-1.0,1.025,-2.025
-0.4,1.015,-1.415
3.317,1.002,2.315
-1.6,1.49,-3.09
0.3,1.47,-1.17
0.183,1.349,-1.166
0.0,1.354,-1.354
-3.417,1.422,-4.838
-4.35,0.784,-5.134
-1.5,0.526,-2.026
1.167,0.661,0.506
-1.233,1.075,-2.308
3.733,1.18,2.553
-0.2,1.46,-1.66
-1.1,1.426,-2.526
1.3,1.338,-0.038
0.667,1.316,-0.649
2.85,1.312,1.538
-0.25,1.493,-1.743
2.567,1.474,1.093
-1.333,1.501,-2.834
2.7,1.29,1.41
0.9,1.467,-0.567
-4.683,1.483,-6.166
0.683,0.965,-0.281
-2.65,1.436,-4.086
0.417,0.766,-0.35
2.5,1.381,1.119
3.683,1.491,2.192
1.6,1.668,-0.068
3.0,1.627,1.373
1.25,1.679,-0.429
2.083,1.594,0.49
5.717,1.618,4.099
5.967,2.022,3.944
0.217,2.316,-2.099
3.483,1.815,1.668
-0.767,2.082,-2.849
3.083,1.772,1.311
0.283,1.98,-1.697
-0.25,1.825,-2.075
2.5,1.689,0.811
-0.083,1.788,-1.871
3.3,1.631,1.669
1.5,1.763,-0.263
-1.267,1.733,-3.0
-0.75,1.55,-2.3
0.0,1.494,-1.494
5.817,1.468,4.349
3.967,1.75,2.216
6.817,1.871,4.946
6.533,2.46,4.073
6.383,2.762,3.621
-1.25,2.955,-4.205
2.5,2.223,0.277
-1.05,2.242,-3.292
-1.333,1.917,-3.25
2.017,1.775,0.242
0.0,1.792,-1.792
-0.85,1.622,-2.472
3.933,1.491,2.442
-1.317,1.724,-3.04
10.083,1.575,8.508
8.95,3.171,5.779
10.2,3.451,6.749
15.0,4.092,10.908
0.483,4.869,-4.386
-0.233,2.788,-3.021
11.5,2.175,9.325
6.25,3.985,2.265
8.433,3.618,4.816
