Test,Predictions,difference
9.817,2.366,7.451
8.183,0.897,7.286
8.117,1.103,7.014
13.283,0.872,12.411
16.283,2.345,13.939
23.283,3.144,20.14
11.283,3.252,8.032
27.133,3.258,23.875
25.817,3.282,22.535
1.433,2.609,-1.176
-0.0,2.303,-2.303
21.017,1.913,19.103
11.117,2.617,8.5
-0.5,2.143,-2.643
17.2,1.659,15.541
3.8,2.245,1.555
22.45,1.747,20.703
25.483,2.008,23.475
22.417,2.117,20.3
-0.0,1.754,-1.754
32.0,1.171,30.829
29.0,1.499,27.501
3.067,1.544,1.523
31.783,1.523,30.26
-2.033,1.618,-3.651
30.2,1.212,28.988
4.883,1.139,3.745
-0.05,0.91,-0.96
0.5,0.885,-0.385
-0.0,1.038,-1.038
-2.25,0.768,-3.018
-1.0,0.494,-1.494
1.25,0.641,0.609
0.45,0.69,-0.24
0.617,0.686,-0.069
4.25,0.893,3.357
30.25,0.942,29.308
41.25,3.338,37.912
-3.0,3.913,-6.913
-2.6,2.059,-4.659
-3.05,1.021,-4.071
-0.0,0.649,-0.649
-0.0,1.278,-1.278
-0.0,1.324,-1.324
1.367,1.094,0.272
1.433,1.133,0.301
12.5,1.048,11.452
11.233,1.521,9.712
11.817,1.25,10.566
11.367,1.141,10.226
12.333,1.568,10.766
12.75,1.924,10.826
8.5,2.371,6.129
9.25,2.313,6.937
7.983,2.44,5.543
8.05,2.255,5.795
7.0,2.31,4.69
-0.817,2.448,-3.264
-1.817,2.095,-3.911
4.633,1.797,2.836
-2.433,2.373,-4.806
-0.0,1.234,-1.234
1.5,1.419,0.081
-0.0,2.173,-2.173
-0.883,1.85,-2.733
-1.467,0.995,-2.462
-3.5,0.991,-4.491
-2.367,0.162,-2.529
0.25,-0.02,0.27
-2.467,0.424,-2.891
0.1,0.428,-0.328
-1.1,0.437,-1.537
-1.2,0.45,-1.65
-1.55,0.484,-2.034
-1.05,0.281,-1.331
-1.483,0.272,-1.756
-0.733,0.163,-0.896
2.817,0.021,2.795
3.317,0.197,3.12
2.5,0.218,2.282
-1.033,-0.056,-0.977
-0.567,-0.361,-0.206
1.933,-0.5,2.433
1.15,-0.106,1.256
-0.533,0.124,-0.657
-2.417,-0.064,-2.353
2.5,-0.539,3.039
1.467,-0.482,1.948
-1.15,-0.569,-0.581
-1.283,-0.699,-0.585
-3.6,-0.749,-2.851
-2.633,-0.752,-1.881
5.767,-0.635,6.402
-4.7,-0.548,-4.152
-0.0,-0.396,0.396
1.633,-0.415,2.048
1.467,-0.473,1.94
-2.683,-0.376,-2.307
1.5,-0.178,1.678
-2.65,0.037,-2.687
0.3,0.16,0.14
0.95,0.133,0.817
4.25,0.396,3.854
-0.75,0.473,-1.223
-5.133,0.616,-5.75
0.8,0.499,0.301
3.733,0.513,3.221
1.617,0.651,0.965
-3.217,0.546,-3.762
0.917,0.523,0.394
2.85,0.58,2.27
-0.75,0.432,-1.182
2.567,0.406,2.161
-2.6,0.588,-3.188
-1.65,0.636,-2.286
-1.5,0.925,-2.425
1.6,0.752,0.848
0.1,0.302,-0.202
-2.05,0.317,-2.367
-0.0,0.153,-0.153
3.45,0.328,3.122
-0.2,0.735,-0.935
5.533,0.207,5.326
-0.95,1.062,-2.012
0.983,0.968,0.016
1.75,0.889,0.861
2.15,1.249,0.901
0.65,1.005,-0.355
2.567,1.076,1.491
1.35,1.067,0.283
6.0,0.962,5.038
1.083,1.291,-0.207
1.8,1.096,0.704
1.9,0.966,0.934
0.617,0.836,-0.22
1.25,0.732,0.518
-0.183,0.788,-0.972
-0.067,0.603,-0.67
1.867,0.633,1.233
1.3,0.753,0.547
0.267,0.619,-0.352
-3.767,0.58,-4.347
-0.0,-0.208,0.208
-0.0,0.389,-0.389
-0.0,0.484,-0.484
-1.017,0.496,-1.513
0.217,0.337,-0.12
-2.067,0.382,-2.448
-1.35,0.178,-1.528
1.417,0.252,1.164
-2.283,0.358,-2.642
-1.25,0.252,-1.502
-1.45,0.317,-1.767
-0.85,0.295,-1.145
2.383,0.288,2.095
-1.533,0.329,-1.863
-2.467,0.275,-2.742
0.183,0.343,-0.16
-0.067,0.448,-0.515
-1.067,0.444,-1.511
-0.033,0.335,-0.368
1.95,0.344,1.606
-0.617,0.339,-0.956
-0.0,0.3,-0.3
-2.333,0.268,-2.601
-2.667,0.326,-2.993
-1.133,0.349,-1.482
-1.133,0.343,-1.477
-0.333,0.332,-0.665
1.5,0.333,1.167
-1.033,0.257,-1.29
-0.4,0.235,-0.635
1.25,0.265,0.985
2.5,0.316,2.184
-0.9,0.331,-1.231
-2.533,0.267,-2.801
2.0,0.097,1.903
-0.0,0.154,-0.154
2.383,0.161,2.222
0.2,0.162,0.038
-0.183,0.147,-0.33
3.217,0.145,3.072
1.35,0.158,1.192
-2.5,0.173,-2.673
0.467,0.087,0.379
-0.067,0.147,-0.213
4.3,0.152,4.148
4.55,0.229,4.321
5.9,0.265,5.635
0.1,0.259,-0.159
-0.55,0.273,-0.823
-1.667,0.142,-1.809
5.583,0.238,5.345
-2.267,0.49,-2.757
4.183,0.218,3.965
4.017,0.58,3.436
-0.483,0.557,-1.04
-1.567,0.396,-1.963
-3.65,0.296,-3.946
2.717,-0.115,2.832
1.25,0.426,0.824
-1.0,0.461,-1.461
0.267,0.272,-0.005
-3.167,0.365,-3.532
0.117,1.198,-1.082
-1.9,0.279,-2.179
7.417,0.275,7.142
0.5,0.276,0.224
-0.583,0.321,-0.905
0.067,0.368,-0.301
0.967,0.406,0.56
-0.267,0.395,-0.662
2.367,0.434,1.933
2.567,0.621,1.945
5.633,1.004,4.629
8.383,1.323,7.06
11.067,1.755,9.311
11.117,2.22,8.897
1.45,1.818,-0.368
3.0,1.544,1.456
4.75,1.46,3.29
2.467,1.565,0.902
0.55,1.547,-0.997
-0.067,1.531,-1.597
-0.267,1.541,-1.808
-3.683,1.503,-5.186
5.033,1.267,3.767
5.0,1.521,3.479
1.383,1.616,-0.232
-1.433,1.658,-3.091
-2.35,1.515,-3.865
