Test,Predictions,difference
-2.117,1.119,-3.236
-1.867,-0.163,-1.704
-1.683,-0.525,-1.158
7.633,-0.773,8.406
-1.75,0.652,-2.402
-0.0,-0.383,0.383
-0.0,-0.031,0.031
-0.0,0.153,-0.153
-0.0,0.308,-0.308
7.45,-0.058,7.508
10.25,0.997,9.253
7.567,2.051,5.515
6.417,2.115,4.302
6.917,1.918,4.998
8.017,2.132,5.885
3.7,2.335,1.365
10.5,1.599,8.901
9.533,2.752,6.782
2.833,2.929,-0.096
1.817,1.776,0.041
1.917,1.213,0.704
11.75,0.905,10.845
10.0,2.075,7.925
0.8,2.275,-1.475
-0.0,1.069,-1.069
6.5,0.676,5.824
-0.933,1.117,-2.05
-0.783,0.177,-0.96
3.183,-0.113,3.296
1.833,0.301,1.532
7.967,0.058,7.909
8.45,1.119,7.331
-0.0,1.429,-1.429
4.1,0.485,3.615
8.667,0.803,7.864
4.267,1.552,2.715
8.717,1.343,7.374
0.533,1.147,-0.613
0.65,0.743,-0.093
12.9,0.441,12.459
5.45,2.536,2.914
7.133,1.943,5.191
6.8,2.244,4.556
6.3,2.41,3.89
7.25,2.353,4.897
0.133,2.463,-2.33
-1.25,1.355,-2.605
11.617,0.68,10.937
10.917,2.524,8.393
-0.5,2.951,-3.451
-0.7,1.327,-2.027
5.083,0.735,4.348
9.983,1.267,8.717
1.95,2.123,-0.173
-2.667,1.231,-3.898
3.167,0.63,2.537
8.767,0.718,8.049
9.967,1.617,8.349
1.917,2.251,-0.334
1.333,1.238,0.095
1.217,0.755,0.462
9.733,0.441,9.292
-1.683,1.6,-3.283
4.367,0.524,3.842
-1.0,0.964,-1.964
4.65,0.31,4.34
-2.6,0.923,-3.523
1.45,-0.216,1.666
3.867,0.071,3.796
4.85,0.559,4.291
7.3,0.923,6.377
5.033,1.67,3.364
8.217,1.708,6.509
1.05,2.287,-1.237
5.783,1.313,4.47
0.417,1.647,-1.231
3.367,0.871,2.496
-0.033,1.168,-1.202
-1.2,0.324,-1.524
-1.333,-0.013,-1.32
6.667,-0.365,7.031
6.85,0.629,6.221
6.467,1.046,5.421
1.75,1.348,0.402
1.75,0.787,0.963
-1.1,0.502,-1.602
2.567,0.123,2.443
0.267,0.259,0.008
1.983,-0.012,1.996
0.767,0.121,0.646
-0.4,0.074,-0.474
-0.25,-0.232,-0.018
-0.2,-0.362,0.162
-0.45,-0.359,-0.091
-0.0,-0.443,0.443
1.383,-0.612,1.995
-0.133,-0.42,0.287
-0.7,-0.462,-0.238
-0.0,-0.628,0.628
-1.4,-0.665,-0.735
-1.0,-0.291,-0.709
-1.417,-0.576,-0.841
1.367,-0.824,2.191
1.233,-0.494,1.728
-0.0,-0.441,0.441
0.6,-0.511,1.111
-0.0,-0.257,0.257
3.033,-0.042,3.075
2.833,0.252,2.582
1.683,0.472,1.211
3.5,0.158,3.342
1.967,0.23,1.737
1.817,0.378,1.439
-0.717,0.492,-1.208
1.0,0.254,0.746
-0.0,0.105,-0.105
0.183,0.171,0.012
2.833,-0.03,2.863
-1.0,0.288,-1.288
-1.7,-0.071,-1.629
1.85,-0.542,2.392
2.5,0.053,2.447
-1.867,0.442,-2.309
-2.25,-0.168,-2.082
6.8,-0.709,7.509
-2.617,0.731,-3.348
5.3,-0.4,5.7
11.75,1.58,10.17
11.433,2.495,8.939
1.967,2.56,-0.594
13.15,1.232,11.918
12.9,2.315,10.585
17.5,2.6,14.9
1.867,3.549,-1.682
0.5,1.91,-1.41
5.733,1.125,4.608
5.25,1.23,4.02
3.0,1.185,1.815
3.567,0.872,2.695
3.4,0.531,2.869
13.3,0.518,12.782
5.117,1.782,3.335
-0.0,1.057,-1.057
12.95,0.318,12.632
3.85,1.867,1.983
4.483,1.019,3.464
3.783,0.869,2.915
10.55,0.831,9.719
12.033,1.808,10.226
9.25,2.831,6.419
10.0,2.737,7.263
8.95,2.898,6.052
16.983,2.988,13.996
16.65,4.136,12.514
12.133,4.582,7.552
12.233,3.904,8.329
5.367,4.022,1.345
12.283,2.98,9.303
12.767,3.79,8.976
