Stop ID,Stop Code,Traffic
344,CHEAADE1,13920.0
345,CHEAADE2,13920.0
346,CHEAADE4,13920.0
348,CHEABARK,13920.0
349,CHEABOU1,13920.0
350,CHEABOU2,13920.0
351,CHEABRA1,13920.0
353,CHEACOL2,13920.0
354,CHEAGAM1,13920.0
355,CHEAGAM2,13920.0
357,CHEAMAI1,13920.0
358,CHEAMAI2,13920.0
359,CHEAMCNA,13920.0
360,CHEARICH,13920.0
361,CHEASTER,13920.0
364,CHEAWAT1,13920.0
365,CHEAWAT2,13920.0
368,CHEAWIL1,13920.0
369,CHEAWIL2,13920.0
371,CHERCHBL,8000.0
372,CHERCHC1,8000.0
373,CHERCHC2,8000.0
374,CHERCHC3,8000.0
375,CHERCHC4,0.0
378,CHEROXF1,8000.0
379,CHEROXF2,8000.0
381,CHERPLA1,8000.0
382,CHERPLA2,8000.0
384,CHIDCHID,3167.0
385,CHIDHUN1,3167.0
386,CHIDHUN2,3167.0
389,CHIDUPQ2,3167.0
390,CHIDWILK,3167.0
391,CHIPAPP2,3000.0
392,CHIPAPP4,3000.0
393,CHIPTREV,3000.0
394,CLARAVA1,17725.0
395,CLARCHA1,17725.0
396,CLARCHA2,17725.0
397,CLARCHA3,5500.0
398,CLARCHU1,17725.0
399,CLARCHU2,17725.0
400,CLARCULV,17725.0
402,CLARDUN1,17725.0
403,CLARDUN2,17725.0
404,CLARFIS1,17725.0
405,CLARFIS2,17725.0
406,CLARGORE,17725.0
409,CLARPACI,17725.0
410,CLARPKH1,17725.0
411,CLARPKH2,17725.0
412,CLARROY1,17725.0
413,CLARROY2,17725.0
414,CLARROY3,0.0
416,CLARSUD2,17725.0
417,CLARTRA1,17725.0
418,CLARTRA2,17725.0
419,CLARTRA4,17725.0
420,CLARWAV1,17725.0
421,CLARWAV2,17725.0
432,COLBCEN1,8364.0
433,COLBCEN2,8364.0
434,COLBDUFF,8364.0
438,COLBOXFD,8364.0
439,COLBPAM1,8364.0
440,COLBPAM2,8364.0
443,COLBPRIN,8364.0
445,COMMADE1,26217.0
446,COMMADE2,26217.0
447,COMMADE4,26217.0
